,timestamp,15min_traffic_count
2061,2022-04-02 17:15:00,271
2062,2022-04-02 17:30:00,292
2063,2022-04-02 17:45:00,260
2064,2022-04-02 18:00:00,261
2065,2022-04-02 18:15:00,288
2066,2022-04-02 18:30:00,272
2067,2022-04-02 18:45:00,310
2068,2022-04-02 19:00:00,326
2069,2022-04-02 19:15:00,292
2070,2022-04-02 19:30:00,287
2071,2022-04-02 19:45:00,200
2072,2022-04-02 20:00:00,249
2073,2022-04-02 20:15:00,225
2074,2022-04-02 20:30:00,221
2075,2022-04-02 20:45:00,199
2076,2022-04-02 21:00:00,190
2077,2022-04-02 21:15:00,176
2078,2022-04-02 21:30:00,228
2079,2022-04-02 21:45:00,187
2080,2022-04-02 22:00:00,201
2081,2022-04-02 22:15:00,199
2082,2022-04-02 22:30:00,161
2083,2022-04-02 22:45:00,157
2084,2022-04-02 23:00:00,143
2085,2022-04-02 23:15:00,109
2086,2022-04-02 23:30:00,113
2087,2022-04-02 23:45:00,117
2112,2022-04-03 06:00:00,22
2113,2022-04-03 06:15:00,32
2114,2022-04-03 06:30:00,47
2115,2022-04-03 06:45:00,32
2116,2022-04-03 07:00:00,25
2117,2022-04-03 07:15:00,52
2118,2022-04-03 07:30:00,52
2119,2022-04-03 07:45:00,51
2120,2022-04-03 08:00:00,68
2121,2022-04-03 08:15:00,76
2122,2022-04-03 08:30:00,92
2123,2022-04-03 08:45:00,86
2124,2022-04-03 09:00:00,104
2125,2022-04-03 09:15:00,119
2126,2022-04-03 09:30:00,126
2127,2022-04-03 09:45:00,163
2128,2022-04-03 10:00:00,134
2129,2022-04-03 10:15:00,130
2130,2022-04-03 10:30:00,149
2131,2022-04-03 10:45:00,153
2132,2022-04-03 11:00:00,150
2133,2022-04-03 11:15:00,133
2134,2022-04-03 11:30:00,163
2135,2022-04-03 11:45:00,187
2136,2022-04-03 12:00:00,204
2137,2022-04-03 12:15:00,217
2138,2022-04-03 12:30:00,226
2139,2022-04-03 12:45:00,240
2140,2022-04-03 13:00:00,207
2141,2022-04-03 13:15:00,233
2142,2022-04-03 13:30:00,258
2143,2022-04-03 13:45:00,233
2144,2022-04-03 14:00:00,203
2145,2022-04-03 14:15:00,242
2146,2022-04-03 14:30:00,227
2147,2022-04-03 14:45:00,209
2148,2022-04-03 15:00:00,227
2149,2022-04-03 15:15:00,204
2150,2022-04-03 15:30:00,209
2151,2022-04-03 15:45:00,224
2152,2022-04-03 16:00:00,240
2153,2022-04-03 16:15:00,219
2154,2022-04-03 16:30:00,206
2155,2022-04-03 16:45:00,216
2156,2022-04-03 17:00:00,184
2157,2022-04-03 17:15:00,212
2158,2022-04-03 17:30:00,230
2159,2022-04-03 17:45:00,229
2160,2022-04-03 18:00:00,225
2161,2022-04-03 18:15:00,239
2162,2022-04-03 18:30:00,245
2163,2022-04-03 18:45:00,219
2164,2022-04-03 19:00:00,212
2165,2022-04-03 19:15:00,214
2166,2022-04-03 19:30:00,181
2167,2022-04-03 19:45:00,148
2168,2022-04-03 20:00:00,167
2169,2022-04-03 20:15:00,144
2170,2022-04-03 20:30:00,169
2171,2022-04-03 20:45:00,181
2172,2022-04-03 21:00:00,168
2173,2022-04-03 21:15:00,166
2174,2022-04-03 21:30:00,187
2175,2022-04-03 21:45:00,154
2176,2022-04-03 22:00:00,156
2177,2022-04-03 22:15:00,161
2178,2022-04-03 22:30:00,131
2179,2022-04-03 22:45:00,114
2180,2022-04-03 23:00:00,90
2181,2022-04-03 23:15:00,87
2182,2022-04-03 23:30:00,84
2183,2022-04-03 23:45:00,63
2208,2022-04-04 06:00:00,37
2209,2022-04-04 06:15:00,60
2210,2022-04-04 06:30:00,95
2211,2022-04-04 06:45:00,146
2212,2022-04-04 07:00:00,329
2213,2022-04-04 07:15:00,473
2214,2022-04-04 07:30:00,680
2215,2022-04-04 07:45:00,732
2216,2022-04-04 08:00:00,661
2217,2022-04-04 08:15:00,661
2218,2022-04-04 08:30:00,709
2219,2022-04-04 08:45:00,696
2220,2022-04-04 09:00:00,580
2221,2022-04-04 09:15:00,565
2222,2022-04-04 09:30:00,555
2223,2022-04-04 09:45:00,432
2224,2022-04-04 10:00:00,419
2225,2022-04-04 10:15:00,312
2226,2022-04-04 10:30:00,318
2227,2022-04-04 10:45:00,344
2228,2022-04-04 11:00:00,339
2229,2022-04-04 11:15:00,275
2230,2022-04-04 11:30:00,302
2231,2022-04-04 11:45:00,312
2232,2022-04-04 12:00:00,333
2233,2022-04-04 12:15:00,378
2234,2022-04-04 12:30:00,351
2235,2022-04-04 12:45:00,369
2236,2022-04-04 13:00:00,354
2237,2022-04-04 13:15:00,338
2238,2022-04-04 13:30:00,363
2239,2022-04-04 13:45:00,363
2240,2022-04-04 14:00:00,380
2241,2022-04-04 14:15:00,325
2242,2022-04-04 14:30:00,349
2243,2022-04-04 14:45:00,366
2244,2022-04-04 15:00:00,375
2245,2022-04-04 15:15:00,367
2246,2022-04-04 15:30:00,352
2247,2022-04-04 15:45:00,428
2248,2022-04-04 16:00:00,546
2249,2022-04-04 16:15:00,627
2250,2022-04-04 16:30:00,499
2251,2022-04-04 16:45:00,607
2252,2022-04-04 17:00:00,530
2253,2022-04-04 17:15:00,443
2254,2022-04-04 17:30:00,799
2255,2022-04-04 17:45:00,652
2256,2022-04-04 18:00:00,492
2257,2022-04-04 18:15:00,627
